Ages,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118
  0-4,3914.03,3854.48,3800.57,3736.56,3686.95,3655.47,3648.23,3636.22,3627.64,3623.24,3621.17,3619.82,3620.19,3623.07,3629.36,3639.76,3654.11,3672.23,3694.34,3720.37,3749.85,3782.08,3815.51,3848.17,3878.31,3904.34,3924.57,3938.83,3947.06,3949.24,3945.63,3937.32,3925.00,3909.61,3892.22,3873.94,3855.83,3838.85,3823.78,3811.20,3801.52,3795.03,3791.79,3791.74,3794.74,3800.53,3808.86,3819.41,3831.77,3845.58,3860.48,3876.07,3891.95,3907.68,3922.84,3937.01,3949.86,3961.02,3970.25,3977.37,3982.29,3985.02,3985.66,3984.42,3981.53,3977.33,3972.19,3966.49,3960.63,3955.01,3949.96,3945.79,3942.76,3941.04,3940.77,3941.99,3944.70,3948.84,3954.28,3960.87,3968.44,3976.76,3985.59,3994.72,4003.89,4012.89,4021.52,4029.60,4036.96,4043.49,4049.10,4053.74,4057.39,4060.10,4061.90,4062.91,4063.21,4062.98,4062.35,4061.48,4060.55
  5-9,4138.52,4152.96,4152.51,4135.91,4083.28,4030.59,3966.26,3907.51,3840.36,3788.28,3755.08,3747.00,3735.03,3726.49,3722.13,3720.08,3718.76,3719.16,3722.07,3728.38,3738.79,3753.16,3771.29,3793.41,3819.45,3848.95,3881.19,3914.61,3947.29,3977.44,4003.47,4023.71,4037.98,4046.23,4048.42,4044.83,4036.54,4024.24,4008.87,3991.50,3973.25,3955.16,3938.19,3923.14,3910.57,3900.92,3894.45,3891.22,3891.19,3894.20,3900.00,3908.34,3918.90,3931.28,3945.10,3960.01,3975.61,3991.49,4007.23,4022.39,4036.59,4049.44,4060.62,4069.85,4076.98,4081.91,4084.65,4085.31,4084.07,4081.20,4077.01,4071.88,4066.19,4060.35,4054.74,4049.70,4045.55,4042.52,4040.82,4040.55,4041.78,4044.50,4048.65,4054.09,4060.69,4068.28,4076.60,4085.43,4094.57,4103.75,4112.75,4121.39,4129.48,4136.85,4143.39,4149.00,4153.65,4157.31,4160.02,4161.83,4162.84
 10-14,3858.89,3956.38,4049.49,4127.87,4202.50,4224.83,4235.66,4231.45,4212.61,4158.34,4104.55,4039.67,3980.96,3913.85,3861.81,3828.64,3820.58,3808.62,3800.11,3795.76,3793.73,3792.43,3792.84,3795.77,3802.09,3812.51,3826.89,3845.03,3867.15,3893.20,3922.70,3954.94,3988.36,4021.04,4051.19,4077.23,4097.47,4111.76,4120.01,4122.21,4118.63,4110.35,4098.07,4082.72,4065.36,4047.12,4029.04,4012.08,3997.04,3984.49,3974.84,3968.38,3965.16,3965.14,3968.15,3973.96,3982.30,3992.88,4005.26,4019.09,4034.00,4049.60,4065.49,4081.23,4096.40,4110.59,4123.45,4134.63,4143.87,4151.00,4155.95,4158.70,4159.37,4158.14,4155.27,4151.08,4145.95,4140.27,4134.44,4128.83,4123.80,4119.66,4116.63,4114.94,4114.68,4115.91,4118.63,4122.79,4128.23,4134.84,4142.42,4150.75,4159.59,4168.73,4177.92,4186.92,4195.56,4203.66,4211.03,4217.57,4223.19
 15-19,3669.25,3652.77,3675.61,3745.44,3850.99,3971.68,4064.97,4153.80,4229.55,4302.33,4323.50,4333.80,4329.64,4310.87,4256.68,4202.94,4138.14,4079.49,4012.43,3960.45,3927.34,3919.31,3907.38,3898.89,3894.57,3892.56,3891.27,3891.71,3894.66,3900.99,3911.43,3925.82,3943.97,3966.10,3992.15,4021.66,4053.90,4087.33,4120.02,4150.17,4176.22,4196.47,4210.77,4219.03,4221.25,4217.69,4209.43,4197.17,4181.84,4164.49,4146.27,4128.21,4111.27,4096.26,4083.71,4074.09,4067.64,4064.44,4064.43,4067.46,4073.28,4081.63,4092.22,4104.61,4118.45,4133.37,4148.98,4164.87,4180.62,4195.79,4209.99,4222.86,4234.05,4243.31,4250.45,4255.41,4258.16,4258.84,4257.62,4254.76,4250.60,4245.49,4239.81,4233.99,4228.39,4223.37,4219.25,4216.23,4214.55,4214.29,4215.53,4218.27,4222.42,4227.88,4234.49,4242.09,4250.42,4259.27,4268.42,4277.61,4286.62
 20-24,4184.58,4154.84,4117.94,4057.35,3975.31,3922.15,3894.98,3907.18,3969.43,4069.76,4187.30,4279.25,4368.10,4443.89,4516.70,4537.95,4548.32,4544.25,4525.58,4471.51,4417.89,4353.20,4294.66,4227.73,4175.85,4142.81,4134.84,4122.95,4114.51,4110.23,4108.25,4107.01,4107.47,4110.45,4116.82,4127.29,4141.71,4159.89,4182.04,4208.11,4237.62,4269.88,4303.31,4336.02,4366.19,4392.25,4412.53,4426.85,4435.14,4437.38,4433.86,4425.63,4413.41,4398.12,4380.81,4362.63,4344.61,4327.71,4312.73,4300.22,4290.63,4284.21,4281.03,4281.06,4284.11,4289.95,4298.32,4308.93,4321.34,4335.20,4350.13,4365.77,4381.67,4397.44,4412.62,4426.85,4439.73,4450.95,4460.22,4467.38,4472.36,4475.13,4475.82,4474.62,4471.79,4467.64,4462.55,4456.91,4451.11,4445.53,4440.53,4436.42,4433.43,4431.76,4431.53,4432.79,4435.54,4439.71,4445.18,4451.81,4459.43
 25-29,4527.18,4525.08,4490.21,4436.64,4397.23,4363.23,4321.63,4272.74,4203.03,4114.02,4056.03,4026.61,4038.95,4101.24,4201.55,4319.05,4410.98,4499.82,4575.61,4648.44,4669.75,4680.20,4676.22,4657.64,4603.72,4550.22,4485.68,4427.27,4360.47,4308.71,4275.77,4267.85,4256.04,4247.66,4243.44,4241.51,4240.32,4240.83,4243.86,4250.27,4260.79,4275.24,4293.46,4315.64,4341.74,4371.27,4403.54,4437.00,4469.71,4499.90,4525.99,4546.30,4560.65,4568.98,4571.27,4567.79,4559.61,4547.44,4532.20,4514.95,4496.83,4478.88,4462.02,4447.09,4434.62,4425.08,4418.70,4415.57,4415.62,4418.72,4424.58,4432.98,4443.61,4456.04,4469.94,4484.90,4500.55,4516.48,4532.27,4547.49,4561.73,4574.64,4585.88,4595.18,4602.37,4607.38,4610.18,4610.91,4609.73,4606.94,4602.82,4597.76,4592.14,4586.37,4580.83,4575.85,4571.77,4568.81,4567.17,4566.96,4568.24
 30-34,4463.36,4505.26,4535.21,4581.50,4617.60,4603.57,4593.86,4551.33,4492.24,4448.53,4411.47,4368.50,4319.86,4250.45,4161.78,4104.06,4074.86,4087.32,4149.65,4249.88,4367.27,4459.14,4547.91,4623.68,4696.49,4717.88,4728.39,4724.50,4706.06,4652.33,4599.02,4534.66,4476.44,4409.85,4358.26,4325.47,4317.65,4305.93,4297.65,4293.51,4291.66,4290.54,4291.13,4294.23,4300.71,4311.29,4325.80,4344.07,4366.30,4392.44,4422.00,4454.29,4487.78,4520.52,4550.74,4576.87,4597.23,4611.63,4620.02,4622.37,4618.95,4610.85,4598.75,4583.59,4566.43,4548.39,4530.51,4513.73,4498.87,4486.48,4477.00,4470.68,4467.61,4467.72,4470.86,4476.77,4485.22,4495.89,4508.37,4522.30,4537.30,4552.99,4568.95,4584.78,4600.02,4614.30,4627.25,4638.52,4647.87,4655.10,4660.15,4663.00,4663.77,4662.65,4659.89,4655.82,4650.80,4645.23,4639.51,4634.01,4629.08
 35-39,4372.23,4401.62,4417.69,4433.59,4449.23,4487.33,4524.53,4549.72,4592.77,4626.35,4610.71,4600.30,4558.06,4499.36,4455.98,4419.22,4376.57,4328.24,4259.22,4170.99,4113.63,4084.72,4097.34,4159.66,4259.76,4376.97,4468.72,4557.38,4633.09,4705.85,4727.34,4737.95,4734.22,4715.99,4662.57,4609.52,4545.46,4487.52,4421.25,4369.94,4337.35,4329.68,4318.12,4309.98,4305.97,4304.24,4303.25,4303.96,4307.16,4313.75,4324.42,4339.02,4357.36,4379.66,4405.86,4435.47,4467.81,4501.34,4534.12,4564.39,4590.59,4611.00,4625.49,4633.96,4636.40,4633.10,4625.10,4613.13,4598.09,4581.05,4563.13,4545.38,4528.72,4513.98,4501.69,4492.32,4486.09,4483.11,4483.31,4486.53,4492.52,4501.04,4511.77,4524.31,4538.30,4553.35,4569.10,4585.11,4600.99,4616.30,4630.63,4643.63,4654.97,4664.37,4671.66,4676.78,4679.69,4680.53,4679.47,4676.79,4672.79
 40-44,3993.39,4021.46,4098.57,4190.01,4290.06,4378.51,4404.63,4417.44,4431.29,4445.38,4482.30,4518.91,4544.16,4587.18,4620.74,4605.35,4595.17,4553.35,4495.19,4452.29,4415.93,4373.73,4325.85,4257.40,4169.84,4113.02,4084.55,4097.39,4159.70,4259.60,4376.53,4468.10,4556.60,4632.21,4704.91,4726.55,4737.34,4733.84,4715.91,4662.94,4610.33,4546.71,4489.20,4423.42,4372.51,4340.25,4332.79,4321.46,4313.54,4309.73,4308.19,4307.39,4308.28,4311.64,4318.39,4329.21,4343.94,4362.39,4384.79,4411.09,4440.77,4473.18,4506.77,4539.64,4569.98,4596.25,4616.77,4631.38,4639.98,4642.57,4639.43,4631.61,4619.81,4604.97,4588.11,4570.38,4552.82,4536.34,4521.77,4509.65,4500.43,4494.36,4491.52,4491.84,4495.18,4501.28,4509.90,4520.73,4533.36,4547.46,4562.59,4578.42,4594.52,4610.48,4625.87,4640.29,4653.37,4664.80,4674.31,4681.69,4686.90
 45-49,4507.40,4405.35,4311.54,4182.05,4066.25,3999.48,4025.01,4099.28,4188.46,4286.55,4373.54,4399.26,4412.28,4426.33,4440.62,4477.57,4514.16,4539.53,4582.54,4616.12,4601.14,4591.32,4550.13,4492.77,4450.54,4414.77,4373.24,4326.01,4258.37,4171.75,4115.68,4087.79,4100.93,4163.22,4262.82,4379.36,4470.69,4558.97,4634.46,4707.07,4728.90,4739.94,4736.75,4719.26,4666.91,4614.90,4551.91,4495.01,4429.89,4379.55,4347.74,4340.57,4329.57,4321.96,4318.43,4317.15,4316.60,4317.74,4321.34,4328.31,4339.33,4354.24,4372.85,4395.39,4421.81,4451.61,4484.12,4517.80,4550.75,4581.20,4607.59,4628.24,4643.02,4651.81,4654.61,4651.70,4644.12,4632.58,4617.99,4601.40,4583.94,4566.63,4550.41,4536.08,4524.19,4515.19,4509.33,4506.67,4507.17,4510.68,4516.94,4525.71,4536.68,4549.44,4563.67,4578.92,4594.87,4611.09,4627.17,4642.67,4657.20
 50-54,4674.24,4661.60,4617.99,4603.89,4560.55,4493.26,4390.65,4296.44,4167.58,4052.60,3986.43,4011.92,4086.01,4174.77,4272.25,4358.72,4384.64,4398.07,4412.52,4427.18,4464.27,4500.95,4526.57,4569.67,4603.37,4588.99,4579.73,4539.39,4483.08,4441.75,4406.78,4366.12,4319.75,4253.16,4167.75,4112.65,4085.51,4099.02,4161.28,4260.50,4376.53,4467.52,4555.51,4630.83,4703.33,4725.43,4736.78,4734.00,4717.06,4665.52,4614.29,4552.14,4496.02,4431.76,4382.16,4350.95,4344.17,4333.59,4326.38,4323.20,4322.26,4322.06,4323.53,4327.43,4334.69,4345.96,4361.09,4379.92,4402.64,4429.22,4459.16,4491.80,4525.60,4558.67,4589.26,4615.80,4636.65,4651.63,4660.66,4663.73,4661.11,4653.85,4642.64,4628.40,4612.15,4595.04,4578.08,4562.19,4548.17,4536.58,4527.87,4522.28,4519.87,4520.60,4524.33,4530.79,4539.76,4550.91,4563.85,4578.24,4593.66
 55-59,4293.82,4408.11,4513.70,4577.78,4614.27,4619.76,4606.48,4563.20,4549.33,4506.95,4441.14,4340.86,4249.05,4123.28,4011.16,3947.03,3973.14,4047.10,4135.38,4232.08,4317.85,4344.08,4358.15,4373.20,4388.40,4425.74,4462.58,4488.57,4531.84,4565.71,4552.14,4543.62,4504.44,4449.59,4409.51,4375.63,4336.14,4290.93,4225.77,4142.02,4088.23,4062.14,4076.19,4138.42,4237.11,4352.44,4442.99,4530.56,4605.62,4677.95,4700.40,4712.16,4709.93,4693.74,4643.33,4593.15,4532.10,4477.06,4414.00,4365.42,4335.04,4328.79,4318.81,4312.14,4309.46,4309.00,4309.26,4311.16,4315.48,4323.14,4334.76,4350.21,4369.31,4392.30,4419.10,4449.23,4482.05,4516.00,4549.24,4580.00,4606.76,4627.86,4643.13,4652.50,4655.93,4653.72,4646.89,4636.14,4622.37,4606.60,4589.96,4573.47,4558.04,4544.45,4533.29,4524.97,4519.74,4517.68,4518.75,4522.77,4529.52
 60-64,3673.11,3758.48,3862.28,3974.70,4090.26,4197.80,4308.49,4411.33,4474.13,4510.37,4516.69,4505.06,4464.43,4452.51,4412.70,4349.84,4253.30,4164.94,4043.66,3935.65,3874.47,3901.44,3975.18,4062.67,4158.15,4242.84,4269.52,4284.49,4300.40,4316.39,4354.07,4391.13,4417.68,4461.17,4495.27,4482.90,4475.45,4437.97,4385.27,4347.02,4314.73,4276.98,4233.46,4170.40,4089.08,4037.23,4012.69,4027.55,4089.71,4187.61,4301.89,4391.74,4478.66,4553.37,4625.43,4648.38,4660.72,4659.30,4644.23,4595.47,4546.85,4487.44,4434.00,4372.69,4325.64,4296.47,4291.03,4281.92,4276.06,4274.13,4274.36,4275.31,4277.86,4282.80,4291.02,4303.16,4319.08,4338.61,4361.96,4389.09,4419.51,4452.58,4486.77,4520.25,4551.27,4578.35,4599.81,4615.51,4625.37,4629.35,4627.74,4621.55,4611.47,4598.40,4583.34,4567.42,4551.63,4536.88,4523.94,4513.41,4505.68
 65-69,3396.44,3371.32,3362.76,3394.97,3459.15,3533.05,3614.67,3714.72,3823.48,3935.64,4040.43,4148.48,4249.12,4311.37,4348.20,4356.27,4347.23,4310.25,4301.00,4264.75,4206.02,4114.76,4031.25,3916.31,3814.10,3757.03,3785.15,3858.46,3944.79,4038.48,4121.61,4148.87,4165.09,4182.21,4199.28,4237.41,4274.77,4302.06,4345.83,4380.24,4369.58,4363.66,4328.60,4278.97,4243.33,4213.32,4178.04,4136.95,4076.89,3999.07,3950.00,3927.66,3943.63,4005.67,4102.39,4215.11,4303.95,4389.93,4464.08,4535.73,4559.39,4572.57,4572.31,4558.85,4512.47,4466.08,4409.04,4357.90,4299.14,4254.28,4226.88,4222.59,4214.72,4210.03,4209.16,4210.40,4212.31,4215.81,4221.64,4230.69,4243.57,4260.15,4280.29,4304.17,4331.76,4362.58,4396.02,4430.55,4464.36,4495.77,4523.28,4545.27,4561.60,4572.17,4576.94,4576.20,4570.95,4561.84,4549.79,4535.76,4520.86
 70-74,3251.60,3319.91,3368.90,3388.25,3240.61,3172.53,3150.34,3144.32,3176.38,3238.36,3309.97,3388.95,3485.06,3589.73,3697.83,3799.19,3903.57,4000.84,4062.06,4099.47,4109.83,4104.29,4072.36,4066.74,4035.44,3982.47,3898.61,3821.92,3715.97,3622.02,3570.79,3600.50,3673.13,3757.68,3848.67,3929.38,3957.35,3975.31,3994.07,4012.63,4051.33,4089.01,4117.30,4161.40,4196.20,4187.92,4184.12,4152.50,4107.27,4075.38,4048.61,4016.88,3979.23,3923.50,3850.70,3805.64,3786.49,3804.05,3865.88,3960.83,4071.24,4158.52,4243.04,4316.33,4387.33,4411.97,4426.30,4427.67,4416.50,4373.57,4330.42,4276.80,4228.99,4173.95,4132.29,4107.44,4104.81,4098.74,4095.73,4096.39,4099.06,4102.40,4107.25,4114.36,4124.60,4138.54,4156.10,4177.09,4201.73,4229.97,4261.37,4295.31,4330.30,4364.59,4396.54,4424.69,4447.44,4464.66,4476.24,4482.16,4482.70
 75-79,2235.57,2326.55,2412.18,2527.23,2763.31,2891.80,2952.70,2996.69,3013.68,2887.83,2832.11,2816.75,2815.25,2847.74,2906.97,2975.43,3050.45,3140.47,3238.72,3340.42,3436.28,3534.82,3626.63,3685.84,3723.65,3736.91,3736.10,3711.20,3710.57,3686.21,3641.39,3568.16,3501.27,3408.42,3326.48,3283.73,3315.59,3387.01,3468.68,3555.33,3632.13,3660.90,3681.21,3702.21,3722.76,3762.12,3800.08,3829.68,3874.10,3909.27,3904.38,3903.60,3876.94,3838.20,3811.82,3789.78,3763.25,3730.65,3681.24,3615.92,3576.78,3562.35,3582.21,3643.62,3735.74,3842.48,3927.25,4009.38,4081.21,4151.05,4177.05,4192.97,4196.67,4188.88,4151.12,4112.80,4064.25,4021.43,3971.98,3935.14,3914.12,3913.93,3910.54,3910.03,3912.94,3917.75,3923.17,3930.03,3939.04,3951.02,3966.54,3985.50,4007.75,4033.48,4062.67,4094.88,4129.53,4165.18,4200.14,4232.85,4261.89
 80-84,1673.46,1716.15,1737.85,1733.09,1756.05,1811.74,1889.56,1963.48,2058.90,2258.84,2368.22,2420.73,2457.19,2470.52,2374.85,2336.03,2329.70,2333.95,2366.38,2420.97,2484.10,2552.56,2632.86,2720.82,2812.20,2899.01,2987.98,3070.82,3126.10,3163.53,3180.12,3185.34,3169.92,3175.80,3160.83,3127.31,3069.11,3016.07,2942.01,2877.26,2846.47,2880.91,2949.85,3026.55,3106.06,3176.40,3205.73,3229.01,3252.84,3275.84,3315.67,3353.54,3384.64,3429.05,3464.33,3464.16,3467.50,3447.95,3418.64,3400.28,3385.06,3366.04,3340.74,3300.62,3246.33,3215.89,3208.34,3231.36,3291.77,3379.15,3479.86,3560.37,3638.41,3707.61,3775.28,3803.03,3821.06,3828.04,3825.16,3795.13,3764.02,3723.09,3687.76,3646.80,3617.25,3601.98,3605.37,3605.93,3609.09,3615.33,3623.25,3631.73,3641.52,3653.32,3667.85,3685.65,3706.62,3730.64,3757.91,3788.39,3821.71
 85-89,1024.47,1041.02,1058.42,1078.15,1102.78,1134.46,1164.14,1181.80,1180.19,1200.33,1245.67,1306.66,1362.59,1430.47,1579.19,1660.32,1699.20,1724.24,1732.27,1674.25,1655.69,1659.32,1669.41,1699.81,1746.19,1799.82,1857.04,1921.88,1993.37,2068.10,2139.91,2213.18,2281.32,2328.97,2363.78,2383.03,2394.70,2390.66,2403.70,2400.08,2380.94,2342.61,2308.00,2259.31,2217.64,2202.39,2238.71,2302.11,2369.75,2437.30,2496.86,2525.66,2551.76,2578.21,2603.40,2642.49,2678.97,2710.94,2753.96,2788.27,2793.99,2802.43,2792.43,2776.08,2768.66,2762.63,2753.84,2738.60,2711.51,2672.99,2654.77,2656.61,2683.35,2741.11,2820.17,2910.55,2983.48,3054.25,3118.41,3181.74,3211.20,3231.59,3242.83,3246.74,3227.92,3207.25,3177.50,3153.19,3124.78,3105.95,3099.00,3107.37,3113.52,3121.83,3132.69,3144.92,3157.62,3171.49,3187.10,3205.09,3225.94
 90-94,448.04,458.58,469.40,480.74,491.13,499.10,506.81,518.61,531.99,547.69,566.34,583.39,594.20,594.28,608.16,637.30,674.66,707.07,743.49,830.01,876.17,897.71,910.26,913.92,891.51,889.95,899.68,911.91,935.55,968.13,1005.72,1045.03,1087.78,1135.47,1185.79,1234.83,1284.67,1331.00,1365.32,1392.66,1410.90,1425.76,1431.01,1447.86,1453.57,1448.36,1431.11,1416.16,1394.80,1377.68,1377.45,1411.12,1462.17,1513.71,1562.52,1605.42,1630.27,1655.99,1681.86,1706.22,1740.50,1771.82,1801.29,1838.70,1868.65,1879.24,1891.63,1891.61,1889.40,1893.47,1897.00,1899.05,1894.97,1883.08,1863.62,1859.39,1870.94,1899.57,1950.26,2014.56,2087.24,2146.56,2204.17,2258.25,2312.33,2341.46,2362.70,2377.61,2388.69,2383.58,2375.76,2360.14,2349.68,2337.39,2332.08,2335.18,2348.77,2361.06,2374.96,2390.64,2407.27
 95-99,122.82,127.90,127.57,128.35,129.38,130.39,132.59,136.33,140.31,143.91,146.65,149.65,154.51,159.95,166.00,172.77,178.81,182.84,183.10,189.22,201.29,215.92,227.73,240.11,273.19,289.88,297.24,301.26,302.77,299.50,303.23,310.40,317.85,329.56,344.62,361.98,379.76,398.42,419.65,442.32,464.70,487.36,508.43,524.83,538.96,549.65,559.81,565.99,577.94,584.53,585.73,581.92,579.45,575.88,574.00,579.75,601.34,630.44,657.85,682.12,703.49,718.24,735.55,752.79,768.81,790.17,809.17,828.28,851.67,870.20,879.37,889.68,894.19,899.63,908.34,915.42,922.25,924.62,923.66,919.42,924.09,938.37,960.75,994.49,1033.63,1077.43,1113.22,1148.12,1182.54,1217.64,1238.82,1254.59,1267.72,1280.65,1285.27,1286.99,1283.45,1284.41,1285.81,1290.88,1300.08
 100 & over,13.17,13.02,15.38,16.72,17.31,17.54,17.66,17.74,17.90,18.03,18.15,18.50,19.13,19.78,20.36,20.78,21.33,22.28,23.30,24.38,25.54,26.56,27.30,27.43,28.81,31.29,34.09,36.17,38.25,44.71,47.65,48.84,49.53,50.02,50.71,52.31,54.30,56.16,58.89,62.30,66.27,70.26,74.33,79.14,84.37,89.59,94.86,99.78,103.84,107.64,110.81,114.13,116.55,120.51,123.01,124.11,124.26,124.88,125.85,126.98,129.88,136.70,145.14,152.47,158.55,164.21,169.15,175.52,181.60,187.09,194.21,200.33,206.98,214.93,221.10,224.98,229.33,232.35,236.52,241.42,245.12,249.09,251.25,252.99,254.16,258.27,265.67,274.72,286.93,299.88,314.68,326.97,339.26,352.41,366.07,375.30,382.20,389.00,396.86,402.33,405.70
